Iteration,Network,Signal,MAC Address
1,"['eduroam', '-64', '38:90:A5:19:EB:F1']"
1,"['SDProbots', '-42', '00:13:21:57:B4:67']"
1,"['central', '-64', '38:90:A5:19:EB:F0']"
1,"['Visit-Ed', '-64', '38:90:A5:19:EB:F3']"
1,"['eduroam', '-35', '38:90:A5:0D:33:31']"
1,"['SDProbots', '-77', '00:16:35:9D:2B:09']"
1,"['eduroam', '-65', '38:90:A5:19:EB:FE']"
1,"['central', '-65', '38:90:A5:19:EB:FF']"
1,"['Visit-Ed', '-65', '38:90:A5:19:EB:FC']"
1,"['eduroam', '-39', '38:90:A5:0D:33:3E']"
1,"['central', '-38', '38:90:A5:0D:33:3F']"
1,"['SDP_AT', '-39', '38:90:A5:0D:33:3D']"
1,"['SDProbots', '-76', '00:13:21:57:E4:EB']"
1,"['eduroam', '-84', '38:90:A5:5A:11:11']"
1,"['central', '-38', '38:90:A5:0D:33:30']"
1,"['SDP_AT', '-37', '38:90:A5:0D:33:32']"
1,"['central', '-78', '38:90:A5:5A:11:1F']"
1,"['central', '-90', '38:90:A5:0D:93:2F']"
1,"['SDP_AT', '-78', '38:90:A5:5A:11:1D']"
1,"['Visit-Ed', '-84', '58:F3:9C:BE:03:43']"
1,"['central', '-80', '38:90:A5:20:20:40']"
1,"['Visit-Ed', '-80', '38:90:A5:20:20:42']"
1,"['eduroam', '-79', '38:90:A5:20:20:41']"
1,"['eduroam', '-79', '38:90:A5:5A:11:1E']"
1,"['central', '-83', '38:90:A5:4D:6A:1F']"
1,"['eduroam', '-82', '20:3A:07:85:59:51']"
1,"['Visit-Ed', '-83', '20:3A:07:85:59:52']"
1,"['central', '-84', '38:90:A5:20:31:B0']"
1,"['BTWi-fi', '-88', '7A:97:41:2A:22:1C']"
2,"['eduroam', '-65', '38:90:A5:19:EB:F1']"
2,"['SDProbots', '-42', '00:13:21:57:B4:67']"
2,"['central', '-65', '38:90:A5:19:EB:F0']"
2,"['Visit-Ed', '-65', '38:90:A5:19:EB:F3']"
2,"['eduroam', '-35', '38:90:A5:0D:33:31']"
2,"['SDProbots', '-77', '00:16:35:9D:2B:09']"
2,"['eduroam', '-65', '38:90:A5:19:EB:FE']"
2,"['central', '-65', '38:90:A5:19:EB:FF']"
2,"['Visit-Ed', '-65', '38:90:A5:19:EB:FC']"
2,"['eduroam', '-39', '38:90:A5:0D:33:3E']"
2,"['central', '-38', '38:90:A5:0D:33:3F']"
2,"['SDP_AT', '-38', '38:90:A5:0D:33:3D']"
2,"['SDProbots', '-76', '00:13:21:57:E4:EB']"
2,"['eduroam', '-82', '38:90:A5:5A:11:11']"
2,"['central', '-38', '38:90:A5:0D:33:30']"
2,"['SDP_AT', '-37', '38:90:A5:0D:33:32']"
2,"['central', '-76', '38:90:A5:5A:11:1F']"
2,"['central', '-90', '38:90:A5:0D:93:2F']"
2,"['SDP_AT', '-77', '38:90:A5:5A:11:1D']"
2,"['Visit-Ed', '-85', '58:F3:9C:BE:03:43']"
2,"['central', '-79', '38:90:A5:20:20:40']"
2,"['Visit-Ed', '-79', '38:90:A5:20:20:42']"
2,"['eduroam', '-80', '38:90:A5:20:20:41']"
2,"['eduroam', '-77', '38:90:A5:5A:11:1E']"
2,"['central', '-83', '38:90:A5:4D:6A:1F']"
2,"['eduroam', '-82', '20:3A:07:85:59:51']"
2,"['Visit-Ed', '-83', '20:3A:07:85:59:52']"
2,"['central', '-84', '38:90:A5:20:31:B0']"
2,"['BTWi-fi', '-88', '7A:97:41:2A:22:1C']"
2,"['central', '-81', '20:3A:07:85:59:50']"
2,"['SDP_AT', '-83', '38:90:A5:5A:11:12']"
2,"['eduroam', '-83', '38:90:A5:4D:6A:1E']"
2,"['Visit-Ed', '-83', '38:90:A5:4D:6A:1C']"
3,"['eduroam', '-65', '38:90:A5:19:EB:F1']"
3,"['SDProbots', '-42', '00:13:21:57:B4:67']"
3,"['central', '-65', '38:90:A5:19:EB:F0']"
3,"['Visit-Ed', '-65', '38:90:A5:19:EB:F3']"
3,"['eduroam', '-35', '38:90:A5:0D:33:31']"
3,"['SDProbots', '-78', '00:16:35:9D:2B:09']"
3,"['eduroam', '-65', '38:90:A5:19:EB:FE']"
3,"['central', '-65', '38:90:A5:19:EB:FF']"
3,"['Visit-Ed', '-66', '38:90:A5:19:EB:FC']"
3,"['eduroam', '-39', '38:90:A5:0D:33:3E']"
3,"['central', '-38', '38:90:A5:0D:33:3F']"
3,"['SDP_AT', '-39', '38:90:A5:0D:33:3D']"
3,"['SDProbots', '-78', '00:13:21:57:E4:EB']"
3,"['eduroam', '-83', '38:90:A5:5A:11:11']"
3,"['central', '-38', '38:90:A5:0D:33:30']"
3,"['SDP_AT', '-35', '38:90:A5:0D:33:32']"
3,"['central', '-76', '38:90:A5:5A:11:1F']"
3,"['central', '-90', '38:90:A5:0D:93:2F']"
3,"['SDP_AT', '-76', '38:90:A5:5A:11:1D']"
3,"['Visit-Ed', '-84', '58:F3:9C:BE:03:43']"
3,"['central', '-78', '38:90:A5:20:20:40']"
3,"['Visit-Ed', '-80', '38:90:A5:20:20:42']"
3,"['eduroam', '-79', '38:90:A5:20:20:41']"
3,"['eduroam', '-76', '38:90:A5:5A:11:1E']"
3,"['central', '-83', '38:90:A5:4D:6A:1F']"
3,"['eduroam', '-82', '20:3A:07:85:59:51']"
3,"['Visit-Ed', '-82', '20:3A:07:85:59:52']"
3,"['central', '-84', '38:90:A5:20:31:B0']"
3,"['BTWi-fi', '-87', '7A:97:41:2A:22:1C']"
3,"['central', '-81', '20:3A:07:85:59:50']"
3,"['SDP_AT', '-81', '38:90:A5:5A:11:12']"
3,"['eduroam', '-83', '38:90:A5:4D:6A:1E']"
3,"['Visit-Ed', '-82', '38:90:A5:4D:6A:1C']"
3,"['eduroam', '-86', '58:F3:9C:BE:03:41']"
3,"['\\x00\\x00\\x00\\x00\\x00\\x00\\x00\\x00\\x00', '-87', '7A:97:41:2A:22:1F']"
3,"['central', '-79', '38:90:A5:5A:11:10']"
3,"['SDP_AT', '-87', '38:90:A5:0D:93:2D']"
4,"['eduroam', '-64', '38:90:A5:19:EB:F1']"
4,"['SDProbots', '-42', '00:13:21:57:B4:67']"
4,"['central', '-64', '38:90:A5:19:EB:F0']"
4,"['Visit-Ed', '-64', '38:90:A5:19:EB:F3']"
4,"['eduroam', '-35', '38:90:A5:0D:33:31']"
4,"['SDProbots', '-78', '00:16:35:9D:2B:09']"
4,"['eduroam', '-65', '38:90:A5:19:EB:FE']"
4,"['central', '-65', '38:90:A5:19:EB:FF']"
4,"['Visit-Ed', '-65', '38:90:A5:19:EB:FC']"
4,"['eduroam', '-38', '38:90:A5:0D:33:3E']"
4,"['central', '-38', '38:90:A5:0D:33:3F']"
4,"['SDP_AT', '-38', '38:90:A5:0D:33:3D']"
4,"['SDProbots', '-86', '00:13:21:57:E4:EB']"
4,"['eduroam', '-83', '38:90:A5:5A:11:11']"
4,"['central', '-38', '38:90:A5:0D:33:30']"
4,"['SDP_AT', '-38', '38:90:A5:0D:33:32']"
4,"['central', '-76', '38:90:A5:5A:11:1F']"
4,"['central', '-90', '38:90:A5:0D:93:2F']"
4,"['SDP_AT', '-77', '38:90:A5:5A:11:1D']"
4,"['Visit-Ed', '-84', '58:F3:9C:BE:03:43']"
