Iteration,Network,Signal,MAC Address
1,"['eduroam', '-60', '38:90:A5:19:EB:F1']"
1,"['SDProbots', '-39', '00:13:21:57:B4:67']"
1,"['central', '-60', '38:90:A5:19:EB:F0']"
1,"['Visit-Ed', '-61', '38:90:A5:19:EB:F3']"
1,"['eduroam', '-39', '38:90:A5:0D:33:31']"
1,"['SDProbots', '-76', '00:16:35:9D:2B:09']"
1,"['eduroam', '-67', '38:90:A5:19:EB:FE']"
1,"['central', '-67', '38:90:A5:19:EB:FF']"
1,"['Visit-Ed', '-67', '38:90:A5:19:EB:FC']"
1,"['eduroam', '-45', '38:90:A5:0D:33:3E']"
1,"['central', '-44', '38:90:A5:0D:33:3F']"
1,"['SDP_AT', '-44', '38:90:A5:0D:33:3D']"
1,"['SDP_AT', '-39', '38:90:A5:0D:33:32']"
1,"['eduroam', '-82', '38:90:A5:20:20:41']"
1,"['central', '-81', '38:90:A5:20:20:40']"
1,"['Visit-Ed', '-82', '38:90:A5:20:20:42']"
1,"['SDProbots', '-84', '00:0D:9D:F6:12:77']"
1,"['eduroam', '-88', '38:90:A5:4D:6A:1E']"
1,"['central', '-83', '58:F3:9C:BE:03:40']"
1,"['Visit-Ed', '-83', '58:F3:9C:BE:03:43']"
2,"['eduroam', '-60', '38:90:A5:19:EB:F1']"
2,"['SDProbots', '-40', '00:13:21:57:B4:67']"
2,"['central', '-60', '38:90:A5:19:EB:F0']"
2,"['Visit-Ed', '-60', '38:90:A5:19:EB:F3']"
2,"['eduroam', '-38', '38:90:A5:0D:33:31']"
2,"['SDProbots', '-80', '00:16:35:9D:2B:09']"
2,"['eduroam', '-67', '38:90:A5:19:EB:FE']"
2,"['central', '-66', '38:90:A5:19:EB:FF']"
2,"['Visit-Ed', '-67', '38:90:A5:19:EB:FC']"
2,"['eduroam', '-45', '38:90:A5:0D:33:3E']"
2,"['central', '-45', '38:90:A5:0D:33:3F']"
2,"['SDP_AT', '-45', '38:90:A5:0D:33:3D']"
2,"['SDP_AT', '-40', '38:90:A5:0D:33:32']"
2,"['eduroam', '-82', '38:90:A5:20:20:41']"
2,"['central', '-81', '38:90:A5:20:20:40']"
2,"['Visit-Ed', '-82', '38:90:A5:20:20:42']"
2,"['SDProbots', '-88', '00:0D:9D:F6:12:77']"
2,"['eduroam', '-88', '38:90:A5:4D:6A:1E']"
2,"['central', '-83', '58:F3:9C:BE:03:40']"
2,"['Visit-Ed', '-83', '58:F3:9C:BE:03:43']"
2,"['eduroam', '-83', '58:F3:9C:BE:03:41']"
2,"['SDP_AT', '-81', '38:90:A5:5A:11:12']"
2,"['central', '-39', '38:90:A5:0D:33:30']"
2,"['central', '-81', '38:90:A5:5A:11:10']"
2,"['eduroam', '-81', '38:90:A5:5A:11:11']"
2,"['central', '-89', '38:90:A5:4D:6A:1F']"
3,"['eduroam', '-60', '38:90:A5:19:EB:F1']"
3,"['SDProbots', '-39', '00:13:21:57:B4:67']"
3,"['central', '-60', '38:90:A5:19:EB:F0']"
3,"['Visit-Ed', '-60', '38:90:A5:19:EB:F3']"
3,"['eduroam', '-39', '38:90:A5:0D:33:31']"
3,"['SDProbots', '-75', '00:16:35:9D:2B:09']"
3,"['eduroam', '-67', '38:90:A5:19:EB:FE']"
3,"['central', '-67', '38:90:A5:19:EB:FF']"
3,"['Visit-Ed', '-67', '38:90:A5:19:EB:FC']"
3,"['eduroam', '-45', '38:90:A5:0D:33:3E']"
3,"['central', '-45', '38:90:A5:0D:33:3F']"
3,"['SDP_AT', '-45', '38:90:A5:0D:33:3D']"
3,"['SDP_AT', '-39', '38:90:A5:0D:33:32']"
3,"['eduroam', '-81', '38:90:A5:20:20:41']"
3,"['central', '-83', '38:90:A5:20:20:40']"
3,"['Visit-Ed', '-83', '38:90:A5:20:20:42']"
3,"['SDProbots', '-88', '00:0D:9D:F6:12:77']"
3,"['eduroam', '-88', '38:90:A5:4D:6A:1E']"
3,"['central', '-85', '58:F3:9C:BE:03:40']"
3,"['Visit-Ed', '-83', '58:F3:9C:BE:03:43']"
3,"['eduroam', '-83', '58:F3:9C:BE:03:41']"
3,"['SDP_AT', '-80', '38:90:A5:5A:11:12']"
3,"['central', '-40', '38:90:A5:0D:33:30']"
3,"['central', '-79', '38:90:A5:5A:11:10']"
3,"['eduroam', '-80', '38:90:A5:5A:11:11']"
3,"['central', '-89', '38:90:A5:4D:6A:1F']"
3,"['eduroam', '-85', '38:90:A5:5A:11:1E']"
4,"['eduroam', '-59', '38:90:A5:19:EB:F1']"
4,"['SDProbots', '-40', '00:13:21:57:B4:67']"
4,"['central', '-60', '38:90:A5:19:EB:F0']"
4,"['Visit-Ed', '-60', '38:90:A5:19:EB:F3']"
4,"['eduroam', '-39', '38:90:A5:0D:33:31']"
4,"['SDProbots', '-75', '00:16:35:9D:2B:09']"
4,"['eduroam', '-67', '38:90:A5:19:EB:FE']"
4,"['central', '-67', '38:90:A5:19:EB:FF']"
4,"['Visit-Ed', '-67', '38:90:A5:19:EB:FC']"
4,"['eduroam', '-44', '38:90:A5:0D:33:3E']"
4,"['central', '-44', '38:90:A5:0D:33:3F']"
4,"['SDP_AT', '-44', '38:90:A5:0D:33:3D']"
4,"['SDP_AT', '-39', '38:90:A5:0D:33:32']"
4,"['eduroam', '-82', '38:90:A5:20:20:41']"
4,"['central', '-82', '38:90:A5:20:20:40']"
4,"['Visit-Ed', '-83', '38:90:A5:20:20:42']"
4,"['SDProbots', '-84', '00:0D:9D:F6:12:77']"
4,"['eduroam', '-88', '38:90:A5:4D:6A:1E']"
4,"['central', '-82', '58:F3:9C:BE:03:40']"
4,"['Visit-Ed', '-82', '58:F3:9C:BE:03:43']"
4,"['eduroam', '-81', '58:F3:9C:BE:03:41']"
4,"['SDP_AT', '-80', '38:90:A5:5A:11:12']"
4,"['central', '-38', '38:90:A5:0D:33:30']"
4,"['central', '-79', '38:90:A5:5A:11:10']"
4,"['eduroam', '-82', '38:90:A5:5A:11:11']"
4,"['central', '-89', '38:90:A5:4D:6A:1F']"
4,"['eduroam', '-85', '38:90:A5:5A:11:1E']"
4,"['SDProbots', '-89', '00:13:21:57:E4:EB']"
4,"['SDP_AT', '-85', '38:90:A5:5A:11:1D']"
5,"['eduroam', '-60', '38:90:A5:19:EB:F1']"
5,"['SDProbots', '-39', '00:13:21:57:B4:67']"
5,"['central', '-60', '38:90:A5:19:EB:F0']"
5,"['Visit-Ed', '-60', '38:90:A5:19:EB:F3']"
5,"['eduroam', '-38', '38:90:A5:0D:33:31']"
5,"['SDProbots', '-74', '00:16:35:9D:2B:09']"
5,"['eduroam', '-67', '38:90:A5:19:EB:FE']"
5,"['central', '-67', '38:90:A5:19:EB:FF']"
5,"['Visit-Ed', '-67', '38:90:A5:19:EB:FC']"
5,"['eduroam', '-45', '38:90:A5:0D:33:3E']"
5,"['central', '-45', '38:90:A5:0D:33:3F']"
5,"['SDP_AT', '-44', '38:90:A5:0D:33:3D']"
5,"['SDP_AT', '-39', '38:90:A5:0D:33:32']"
5,"['eduroam', '-80', '38:90:A5:20:20:41']"
5,"['central', '-82', '38:90:A5:20:20:40']"
5,"['Visit-Ed', '-83', '38:90:A5:20:20:42']"
5,"['SDProbots', '-85', '00:0D:9D:F6:12:77']"
5,"['eduroam', '-88', '38:90:A5:4D:6A:1E']"
5,"['central', '-83', '58:F3:9C:BE:03:40']"
