Iteration,Network,Signal,MAC Address
1,"['eduroam', '-61', '38:90:A5:19:EB:F1']"
1,"['SDProbots', '-56', '00:13:21:57:B4:67']"
1,"['central', '-61', '38:90:A5:19:EB:F0']"
1,"['Visit-Ed', '-61', '38:90:A5:19:EB:F3']"
1,"['eduroam', '-37', '38:90:A5:0D:33:31']"
1,"['SDProbots', '-73', '00:16:35:9D:2B:09']"
1,"['eduroam', '-70', '38:90:A5:19:EB:FE']"
1,"['central', '-70', '38:90:A5:19:EB:FF']"
1,"['Visit-Ed', '-70', '38:90:A5:19:EB:FC']"
1,"['eduroam', '-40', '38:90:A5:0D:33:3E']"
1,"['central', '-39', '38:90:A5:0D:33:3F']"
1,"['SDP_AT', '-39', '38:90:A5:0D:33:3D']"
1,"['SDProbots', '-83', '00:13:21:57:E4:EB']"
1,"['eduroam', '-76', '38:90:A5:5A:11:11']"
1,"['SDProbots', '-82', '00:0D:9D:F6:12:77']"
1,"['central', '-38', '38:90:A5:0D:33:30']"
1,"['SDP_AT', '-37', '38:90:A5:0D:33:32']"
1,"['central', '-76', '38:90:A5:5A:11:1F']"
1,"['central', '-89', '38:90:A5:0D:93:2F']"
1,"['SDP_AT', '-76', '38:90:A5:5A:11:1D']"
1,"['central', '-86', '58:F3:9C:BE:03:40']"
1,"['eduroam', '-85', '58:F3:9C:BE:03:41']"
1,"['Visit-Ed', '-84', '58:F3:9C:BE:03:43']"
1,"['central', '-80', '38:90:A5:20:20:40']"
1,"['Visit-Ed', '-79', '38:90:A5:20:20:42']"
1,"['eduroam', '-80', '38:90:A5:20:20:41']"
1,"['eduroam', '-77', '38:90:A5:5A:11:1E']"
1,"['SDP_AT', '-76', '38:90:A5:5A:11:12']"
1,"['eduroam', '-82', '38:90:A5:4D:6A:1E']"
1,"['central', '-82', '38:90:A5:4D:6A:1F']"
1,"['Visit-Ed', '-83', '38:90:A5:4D:6A:1C']"
1,"['SDP_AT', '-89', '38:90:A5:0D:93:2D']"
1,"['Visit-Ed', '-84', '38:90:A5:4D:6A:13']"
1,"['Visit-Ed', '-87', '38:90:A5:20:31:B2']"
1,"['SDP_AT', '-83', '38:90:A5:0D:93:22']"
2,"['eduroam', '-62', '38:90:A5:19:EB:F1']"
2,"['SDProbots', '-35', '00:13:21:57:B4:67']"
2,"['central', '-61', '38:90:A5:19:EB:F0']"
2,"['Visit-Ed', '-62', '38:90:A5:19:EB:F3']"
2,"['eduroam', '-36', '38:90:A5:0D:33:31']"
2,"['SDProbots', '-73', '00:16:35:9D:2B:09']"
2,"['eduroam', '-69', '38:90:A5:19:EB:FE']"
2,"['central', '-69', '38:90:A5:19:EB:FF']"
2,"['Visit-Ed', '-70', '38:90:A5:19:EB:FC']"
2,"['eduroam', '-40', '38:90:A5:0D:33:3E']"
2,"['central', '-39', '38:90:A5:0D:33:3F']"
2,"['SDP_AT', '-39', '38:90:A5:0D:33:3D']"
2,"['SDProbots', '-81', '00:13:21:57:E4:EB']"
2,"['eduroam', '-76', '38:90:A5:5A:11:11']"
2,"['SDProbots', '-82', '00:0D:9D:F6:12:77']"
2,"['central', '-37', '38:90:A5:0D:33:30']"
2,"['SDP_AT', '-37', '38:90:A5:0D:33:32']"
2,"['central', '-37', '38:90:A5:5A:11:1F']"
2,"['central', '-88', '38:90:A5:0D:93:2F']"
2,"['SDP_AT', '-76', '38:90:A5:5A:11:1D']"
2,"['central', '-86', '58:F3:9C:BE:03:40']"
2,"['eduroam', '-85', '58:F3:9C:BE:03:41']"
2,"['Visit-Ed', '-81', '58:F3:9C:BE:03:43']"
2,"['central', '-80', '38:90:A5:20:20:40']"
2,"['Visit-Ed', '-81', '38:90:A5:20:20:42']"
2,"['eduroam', '-80', '38:90:A5:20:20:41']"
2,"['eduroam', '-77', '38:90:A5:5A:11:1E']"
2,"['SDP_AT', '-75', '38:90:A5:5A:11:12']"
2,"['eduroam', '-83', '38:90:A5:4D:6A:1E']"
2,"['central', '-83', '38:90:A5:4D:6A:1F']"
2,"['Visit-Ed', '-82', '38:90:A5:4D:6A:1C']"
2,"['SDP_AT', '-89', '38:90:A5:0D:93:2D']"
2,"['Visit-Ed', '-84', '38:90:A5:4D:6A:13']"
2,"['Visit-Ed', '-87', '38:90:A5:20:31:B2']"
2,"['SDP_AT', '-83', '38:90:A5:0D:93:22']"
2,"['central', '-76', '38:90:A5:5A:11:10']"
2,"['BT-MGCPWG', '-88', 'D4:86:60:57:1F:9A']"
2,"['eduroam', '-82', '38:90:A5:0D:93:21']"
2,"['central', '-90', '58:F3:9C:BE:03:4F']"
3,"['eduroam', '-62', '38:90:A5:19:EB:F1']"
3,"['SDProbots', '-35', '00:13:21:57:B4:67']"
3,"['central', '-61', '38:90:A5:19:EB:F0']"
3,"['Visit-Ed', '-61', '38:90:A5:19:EB:F3']"
3,"['eduroam', '-37', '38:90:A5:0D:33:31']"
3,"['SDProbots', '-74', '00:16:35:9D:2B:09']"
3,"['eduroam', '-70', '38:90:A5:19:EB:FE']"
3,"['central', '-69', '38:90:A5:19:EB:FF']"
3,"['Visit-Ed', '-70', '38:90:A5:19:EB:FC']"
3,"['eduroam', '-38', '38:90:A5:0D:33:3E']"
3,"['central', '-39', '38:90:A5:0D:33:3F']"
3,"['SDP_AT', '-39', '38:90:A5:0D:33:3D']"
3,"['SDProbots', '-82', '00:13:21:57:E4:EB']"
3,"['eduroam', '-76', '38:90:A5:5A:11:11']"
3,"['SDProbots', '-81', '00:0D:9D:F6:12:77']"
3,"['central', '-38', '38:90:A5:0D:33:30']"
3,"['SDP_AT', '-37', '38:90:A5:0D:33:32']"
3,"['central', '-75', '38:90:A5:5A:11:1F']"
3,"['central', '-88', '38:90:A5:0D:93:2F']"
3,"['SDP_AT', '-75', '38:90:A5:5A:11:1D']"
3,"['central', '-86', '58:F3:9C:BE:03:40']"
3,"['eduroam', '-85', '58:F3:9C:BE:03:41']"
3,"['Visit-Ed', '-86', '58:F3:9C:BE:03:43']"
3,"['central', '-79', '38:90:A5:20:20:40']"
3,"['Visit-Ed', '-80', '38:90:A5:20:20:42']"
3,"['eduroam', '-79', '38:90:A5:20:20:41']"
3,"['eduroam', '-75', '38:90:A5:5A:11:1E']"
3,"['SDP_AT', '-75', '38:90:A5:5A:11:12']"
3,"['eduroam', '-82', '38:90:A5:4D:6A:1E']"
3,"['central', '-83', '38:90:A5:4D:6A:1F']"
3,"['Visit-Ed', '-83', '38:90:A5:4D:6A:1C']"
3,"['SDP_AT', '-90', '38:90:A5:0D:93:2D']"
3,"['Visit-Ed', '-84', '38:90:A5:4D:6A:13']"
3,"['Visit-Ed', '-87', '38:90:A5:20:31:B2']"
3,"['SDP_AT', '-83', '38:90:A5:0D:93:22']"
3,"['central', '-76', '38:90:A5:5A:11:10']"
3,"['BT-MGCPWG', '-88', 'D4:86:60:57:1F:9A']"
3,"['eduroam', '-81', '38:90:A5:0D:93:21']"
3,"['central', '-90', '58:F3:9C:BE:03:4F']"
3,"['eduroam', '-84', '38:90:A5:4D:6A:11']"
4,"['eduroam', '-61', '38:90:A5:19:EB:F1']"
4,"['SDProbots', '-37', '00:13:21:57:B4:67']"
4,"['central', '-61', '38:90:A5:19:EB:F0']"
4,"['Visit-Ed', '-62', '38:90:A5:19:EB:F3']"
4,"['eduroam', '-35', '38:90:A5:0D:33:31']"
4,"['SDProbots', '-73', '00:16:35:9D:2B:09']"
4,"['eduroam', '-69', '38:90:A5:19:EB:FE']"
4,"['central', '-69', '38:90:A5:19:EB:FF']"
4,"['Visit-Ed', '-69', '38:90:A5:19:EB:FC']"
4,"['eduroam', '-38', '38:90:A5:0D:33:3E']"
4,"['central', '-39', '38:90:A5:0D:33:3F']"
4,"['SDP_AT', '-39', '38:90:A5:0D:33:3D']"
4,"['SDProbots', '-79', '00:13:21:57:E4:EB']"
4,"['eduroam', '-77', '38:90:A5:5A:11:11']"
4,"['SDProbots', '-81', '00:0D:9D:F6:12:77']"
4,"['central', '-37', '38:90:A5:0D:33:30']"
4,"['SDP_AT', '-37', '38:90:A5:0D:33:32']"
4,"['central', '-76', '38:90:A5:5A:11:1F']"
4,"['central', '-88', '38:90:A5:0D:93:2F']"
4,"['SDP_AT', '-75', '38:90:A5:5A:11:1D']"
4,"['central', '-86', '58:F3:9C:BE:03:40']"
4,"['eduroam', '-84', '58:F3:9C:BE:03:41']"
4,"['Visit-Ed', '-87', '58:F3:9C:BE:03:43']"
4,"['central', '-79', '38:90:A5:20:20:40']"
4,"['Visit-Ed', '-80', '38:90:A5:20:20:42']"
4,"['eduroam', '-79', '38:90:A5:20:20:41']"
4,"['eduroam', '-75', '38:90:A5:5A:11:1E']"
4,"['SDP_AT', '-77', '38:90:A5:5A:11:12']"
4,"['eduroam', '-82', '38:90:A5:4D:6A:1E']"
4,"['central', '-82', '38:90:A5:4D:6A:1F']"
4,"['Visit-Ed', '-81', '38:90:A5:4D:6A:1C']"
4,"['SDP_AT', '-89', '38:90:A5:0D:93:2D']"
4,"['Visit-Ed', '-84', '38:90:A5:4D:6A:13']"
4,"['Visit-Ed', '-85', '38:90:A5:20:31:B2']"
4,"['SDP_AT', '-83', '38:90:A5:0D:93:22']"
4,"['central', '-76', '38:90:A5:5A:11:10']"
4,"['BT-MGCPWG', '-88', 'D4:86:60:57:1F:9A']"
4,"['eduroam', '-81', '38:90:A5:0D:93:21']"
4,"['central', '-90', '58:F3:9C:BE:03:4F']"
4,"['eduroam', '-84', '38:90:A5:4D:6A:11']"
4,"['eduroam', '-89', '38:90:A5:0D:93:2E']"
5,"['eduroam', '-62', '38:90:A5:19:EB:F1']"
5,"['SDProbots', '-35', '00:13:21:57:B4:67']"
5,"['central', '-61', '38:90:A5:19:EB:F0']"
5,"['Visit-Ed', '-62', '38:90:A5:19:EB:F3']"
5,"['eduroam', '-36', '38:90:A5:0D:33:31']"
5,"['SDProbots', '-73', '00:16:35:9D:2B:09']"
5,"['eduroam', '-69', '38:90:A5:19:EB:FE']"
5,"['central', '-69', '38:90:A5:19:EB:FF']"
5,"['Visit-Ed', '-69', '38:90:A5:19:EB:FC']"
5,"['eduroam', '-39', '38:90:A5:0D:33:3E']"
5,"['central', '-39', '38:90:A5:0D:33:3F']"
5,"['SDP_AT', '-39', '38:90:A5:0D:33:3D']"
5,"['SDProbots', '-79', '00:13:21:57:E4:EB']"
5,"['eduroam', '-77', '38:90:A5:5A:11:11']"
5,"['SDProbots', '-83', '00:0D:9D:F6:12:77']"
5,"['central', '-36', '38:90:A5:0D:33:30']"
5,"['SDP_AT', '-37', '38:90:A5:0D:33:32']"
5,"['central', '-75', '38:90:A5:5A:11:1F']"
5,"['central', '-88', '38:90:A5:0D:93:2F']"
5,"['SDP_AT', '-75', '38:90:A5:5A:11:1D']"
5,"['central', '-84', '58:F3:9C:BE:03:40']"
5,"['eduroam', '-85', '58:F3:9C:BE:03:41']"
5,"['Visit-Ed', '-82', '58:F3:9C:BE:03:43']"
5,"['central', '-79', '38:90:A5:20:20:40']"
5,"['Visit-Ed', '-79', '38:90:A5:20:20:42']"
5,"['eduroam', '-81', '38:90:A5:20:20:41']"
5,"['eduroam', '-76', '38:90:A5:5A:11:1E']"
5,"['SDP_AT', '-77', '38:90:A5:5A:11:12']"
5,"['eduroam', '-83', '38:90:A5:4D:6A:1E']"
5,"['central', '-82', '38:90:A5:4D:6A:1F']"
5,"['Visit-Ed', '-84', '38:90:A5:4D:6A:1C']"
5,"['SDP_AT', '-89', '38:90:A5:0D:93:2D']"
5,"['Visit-Ed', '-84', '38:90:A5:4D:6A:13']"
5,"['Visit-Ed', '-85', '38:90:A5:20:31:B2']"
5,"['SDP_AT', '-83', '38:90:A5:0D:93:22']"
5,"['central', '-75', '38:90:A5:5A:11:10']"
5,"['BT-MGCPWG', '-88', 'D4:86:60:57:1F:9A']"
