Iteration,Network,Signal,MAC Address
1,"['eduroam', '-59', '38:90:A5:19:EB:F1']"
1,"['SDProbots', '-48', '00:13:21:57:B4:67']"
1,"['central', '-59', '38:90:A5:19:EB:F0']"
1,"['Visit-Ed', '-59', '38:90:A5:19:EB:F3']"
1,"['eduroam', '-40', '38:90:A5:0D:33:31']"
1,"['SDProbots', '-77', '00:16:35:9D:2B:09']"
1,"['eduroam', '-71', '38:90:A5:19:EB:FE']"
1,"['central', '-70', '38:90:A5:19:EB:FF']"
1,"['Visit-Ed', '-71', '38:90:A5:19:EB:FC']"
1,"['eduroam', '-42', '38:90:A5:0D:33:3E']"
1,"['central', '-42', '38:90:A5:0D:33:3F']"
1,"['SDP_AT', '-42', '38:90:A5:0D:33:3D']"
1,"['SDProbots', '-88', '00:13:21:57:E4:EB']"
1,"['central', '-40', '38:90:A5:0D:33:30']"
1,"['SDP_AT', '-40', '38:90:A5:0D:33:32']"
1,"['Visit-Ed', '-80', '38:90:A5:20:20:42']"
1,"['SDProbots', '-65', '00:0D:9D:F6:12:77']"
1,"['eduroam', '-82', '38:90:A5:20:20:41']"
1,"['central', '-81', '38:90:A5:20:20:40']"
1,"['Visit-Ed', '-84', '38:90:A5:4D:6A:1C']"
1,"['\\x00\\x00\\x00\\x00\\x00\\x00\\x00\\x00\\x00', '-84', '72:86:60:57:1F:9E']"
1,"['\\x00\\x00\\x00\\x00\\x00\\x00\\x00\\x00\\x00', '-87', '7A:97:41:2A:22:1F']"
1,"['Jizhiiyyn', '-84', '70:97:41:2A:22:1B']"
1,"['BTWi-fi', '-84', '7A:97:41:2A:22:1C']"
1,"['BTWi-fi', '-83', '72:86:60:57:1F:9B']"
1,"['central', '-79', '38:90:A5:5A:11:10']"
1,"['SDP_AT', '-79', '38:90:A5:5A:11:12']"
1,"['eduroam', '-78', '38:90:A5:5A:11:11']"
1,"['eduroam', '-85', '38:90:A5:20:31:B1']"
1,"['eduroam', '-82', '38:90:A5:5A:11:1E']"
1,"['eduroam', '-84', '38:90:A5:4D:6A:1E']"
2,"['eduroam', '-59', '38:90:A5:19:EB:F1']"
2,"['SDProbots', '-39', '00:13:21:57:B4:67']"
2,"['central', '-59', '38:90:A5:19:EB:F0']"
2,"['Visit-Ed', '-59', '38:90:A5:19:EB:F3']"
2,"['eduroam', '-40', '38:90:A5:0D:33:31']"
2,"['SDProbots', '-77', '00:16:35:9D:2B:09']"
2,"['eduroam', '-69', '38:90:A5:19:EB:FE']"
2,"['central', '-69', '38:90:A5:19:EB:FF']"
2,"['Visit-Ed', '-69', '38:90:A5:19:EB:FC']"
2,"['eduroam', '-42', '38:90:A5:0D:33:3E']"
2,"['central', '-43', '38:90:A5:0D:33:3F']"
2,"['SDP_AT', '-42', '38:90:A5:0D:33:3D']"
2,"['SDProbots', '-81', '00:13:21:57:E4:EB']"
2,"['central', '-40', '38:90:A5:0D:33:30']"
2,"['SDP_AT', '-40', '38:90:A5:0D:33:32']"
2,"['Visit-Ed', '-82', '38:90:A5:20:20:42']"
2,"['SDProbots', '-83', '00:0D:9D:F6:12:77']"
2,"['eduroam', '-82', '38:90:A5:20:20:41']"
2,"['central', '-80', '38:90:A5:20:20:40']"
2,"['Visit-Ed', '-84', '38:90:A5:4D:6A:1C']"
2,"['\\x00\\x00\\x00\\x00\\x00\\x00\\x00\\x00\\x00', '-84', '72:86:60:57:1F:9E']"
2,"['\\x00\\x00\\x00\\x00\\x00\\x00\\x00\\x00\\x00', '-87', '7A:97:41:2A:22:1F']"
2,"['Jizhiiyyn', '-84', '70:97:41:2A:22:1B']"
2,"['BTWi-fi', '-84', '7A:97:41:2A:22:1C']"
2,"['BTWi-fi', '-83', '72:86:60:57:1F:9B']"
2,"['central', '-80', '38:90:A5:5A:11:10']"
2,"['SDP_AT', '-77', '38:90:A5:5A:11:12']"
2,"['eduroam', '-78', '38:90:A5:5A:11:11']"
2,"['eduroam', '-85', '38:90:A5:20:31:B1']"
2,"['eduroam', '-82', '38:90:A5:5A:11:1E']"
2,"['eduroam', '-84', '38:90:A5:4D:6A:1E']"
2,"['eduroam', '-86', '38:90:A5:4D:6A:11']"
2,"['SDP_AT', '-84', '38:90:A5:5A:11:1D']"
2,"['central', '-85', '38:90:A5:4D:6A:1F']"
3,"['eduroam', '-58', '38:90:A5:19:EB:F1']"
3,"['SDProbots', '-50', '00:13:21:57:B4:67']"
3,"['central', '-59', '38:90:A5:19:EB:F0']"
3,"['Visit-Ed', '-59', '38:90:A5:19:EB:F3']"
3,"['eduroam', '-40', '38:90:A5:0D:33:31']"
3,"['SDProbots', '-78', '00:16:35:9D:2B:09']"
3,"['eduroam', '-70', '38:90:A5:19:EB:FE']"
3,"['central', '-70', '38:90:A5:19:EB:FF']"
3,"['Visit-Ed', '-70', '38:90:A5:19:EB:FC']"
3,"['eduroam', '-42', '38:90:A5:0D:33:3E']"
3,"['central', '-41', '38:90:A5:0D:33:3F']"
3,"['SDP_AT', '-41', '38:90:A5:0D:33:3D']"
3,"['SDProbots', '-86', '00:13:21:57:E4:EB']"
3,"['central', '-40', '38:90:A5:0D:33:30']"
3,"['SDP_AT', '-40', '38:90:A5:0D:33:32']"
3,"['Visit-Ed', '-81', '38:90:A5:20:20:42']"
3,"['SDProbots', '-84', '00:0D:9D:F6:12:77']"
3,"['eduroam', '-83', '38:90:A5:20:20:41']"
3,"['central', '-82', '38:90:A5:20:20:40']"
3,"['Visit-Ed', '-84', '38:90:A5:4D:6A:1C']"
