Iteration,Network,Signal,MAC Address
4,"['central', '-79', '38:90:A5:5A:11:10']"
4,"['SDP_AT', '-80', '38:90:A5:5A:11:12']"
4,"['eduroam', '-80', '38:90:A5:5A:11:11']"
4,"['eduroam', '-83', '38:90:A5:5A:11:1E']"
4,"['eduroam', '-86', '38:90:A5:4D:6A:1E']"
4,"['central', '-84', '38:90:A5:20:31:B0']"
4,"['Visit-Ed', '-83', '20:3A:07:85:59:52']"
4,"['eduroam', '-85', '20:3A:07:85:59:51']"
4,"['central', '-83', '38:90:A5:20:20:40']"
4,"['central', '-83', '38:90:A5:5A:11:1F']"
4,"['SDP_AT', '-83', '38:90:A5:5A:11:1D']"
4,"['central', '-85', '20:3A:07:85:59:50']"
4,"['eduroam', '-85', '38:90:A5:20:31:B1']"
4,"['Visit-Ed', '-83', '38:90:A5:20:20:42']"
5,"['eduroam', '-67', '38:90:A5:19:EB:F1']"
5,"['SDProbots', '-42', '00:13:21:57:B4:67']"
5,"['central', '-67', '38:90:A5:19:EB:F0']"
5,"['Visit-Ed', '-68', '38:90:A5:19:EB:F3']"
5,"['eduroam', '-35', '38:90:A5:0D:33:31']"
5,"['SDProbots', '-74', '00:16:35:9D:2B:09']"
5,"['eduroam', '-70', '38:90:A5:19:EB:FE']"
5,"['central', '-71', '38:90:A5:19:EB:FF']"
5,"['Visit-Ed', '-71', '38:90:A5:19:EB:FC']"
5,"['eduroam', '-42', '38:90:A5:0D:33:3E']"
5,"['central', '-43', '38:90:A5:0D:33:3F']"
5,"['SDP_AT', '-43', '38:90:A5:0D:33:3D']"
5,"['SDProbots', '-87', '00:13:21:57:E4:EB']"
5,"['central', '-35', '38:90:A5:0D:33:30']"
5,"['SDP_AT', '-35', '38:90:A5:0D:33:32']"
5,"['SDProbots', '-86', '00:0D:9D:F6:12:77']"
5,"['eduroam', '-85', '38:90:A5:20:20:41']"
5,"['Visit-Ed', '-90', '38:90:A5:4D:6A:1C']"
5,"['central', '-79', '38:90:A5:5A:11:10']"
5,"['SDP_AT', '-80', '38:90:A5:5A:11:12']"
5,"['eduroam', '-80', '38:90:A5:5A:11:11']"
5,"['eduroam', '-83', '38:90:A5:5A:11:1E']"
5,"['eduroam', '-86', '38:90:A5:4D:6A:1E']"
5,"['central', '-84', '38:90:A5:20:31:B0']"
5,"['Visit-Ed', '-85', '20:3A:07:85:59:52']"
5,"['eduroam', '-85', '20:3A:07:85:59:51']"
5,"['central', '-83', '38:90:A5:20:20:40']"
5,"['central', '-83', '38:90:A5:5A:11:1F']"
5,"['SDP_AT', '-83', '38:90:A5:5A:11:1D']"
5,"['central', '-85', '20:3A:07:85:59:50']"
5,"['eduroam', '-85', '38:90:A5:20:31:B1']"
5,"['Visit-Ed', '-83', '38:90:A5:20:20:42']"
6,"['eduroam', '-66', '38:90:A5:19:EB:F1']"
6,"['SDProbots', '-54', '00:13:21:57:B4:67']"
6,"['central', '-67', '38:90:A5:19:EB:F0']"
6,"['Visit-Ed', '-66', '38:90:A5:19:EB:F3']"
6,"['eduroam', '-35', '38:90:A5:0D:33:31']"
6,"['SDProbots', '-75', '00:16:35:9D:2B:09']"
6,"['eduroam', '-70', '38:90:A5:19:EB:FE']"
6,"['central', '-70', '38:90:A5:19:EB:FF']"
