Iteration,Network,Signal,MAC Address
1,"['eduroam', '-58', '38:90:A5:19:EB:F1']"
1,"['SDProbots', '-43', '00:13:21:57:B4:67']"
1,"['central', '-58', '38:90:A5:19:EB:F0']"
1,"['Visit-Ed', '-58', '38:90:A5:19:EB:F3']"
1,"['eduroam', '-37', '38:90:A5:0D:33:31']"
1,"['SDProbots', '-76', '00:16:35:9D:2B:09']"
1,"['eduroam', '-66', '38:90:A5:19:EB:FE']"
1,"['central', '-66', '38:90:A5:19:EB:FF']"
1,"['Visit-Ed', '-66', '38:90:A5:19:EB:FC']"
1,"['eduroam', '-35', '38:90:A5:0D:33:3E']"
1,"['central', '-37', '38:90:A5:0D:33:3F']"
1,"['SDP_AT', '-35', '38:90:A5:0D:33:3D']"
1,"['SDProbots', '-80', '00:13:21:57:E4:EB']"
1,"['eduroam', '-83', '38:90:A5:5A:11:11']"
1,"['central', '-38', '38:90:A5:0D:33:30']"
1,"['SDP_AT', '-37', '38:90:A5:0D:33:32']"
1,"['central', '-80', '38:90:A5:5A:11:1F']"
1,"['central', '-77', '38:90:A5:20:20:40']"
1,"['Visit-Ed', '-78', '38:90:A5:20:20:42']"
1,"['eduroam', '-78', '38:90:A5:20:20:41']"
1,"['SDProbots', '-86', '00:16:35:9D:4B:F3']"
2,"['eduroam', '-58', '38:90:A5:19:EB:F1']"
2,"['SDProbots', '-44', '00:13:21:57:B4:67']"
2,"['central', '-58', '38:90:A5:19:EB:F0']"
2,"['Visit-Ed', '-57', '38:90:A5:19:EB:F3']"
2,"['eduroam', '-37', '38:90:A5:0D:33:31']"
2,"['SDProbots', '-81', '00:16:35:9D:2B:09']"
2,"['eduroam', '-67', '38:90:A5:19:EB:FE']"
2,"['central', '-66', '38:90:A5:19:EB:FF']"
2,"['Visit-Ed', '-66', '38:90:A5:19:EB:FC']"
2,"['eduroam', '-37', '38:90:A5:0D:33:3E']"
2,"['central', '-37', '38:90:A5:0D:33:3F']"
2,"['SDP_AT', '-35', '38:90:A5:0D:33:3D']"
2,"['SDProbots', '-82', '00:13:21:57:E4:EB']"
2,"['eduroam', '-83', '38:90:A5:5A:11:11']"
2,"['central', '-38', '38:90:A5:0D:33:30']"
2,"['SDP_AT', '-37', '38:90:A5:0D:33:32']"
2,"['central', '-80', '38:90:A5:5A:11:1F']"
2,"['central', '-79', '38:90:A5:20:20:40']"
2,"['Visit-Ed', '-78', '38:90:A5:20:20:42']"
2,"['eduroam', '-78', '38:90:A5:20:20:41']"
2,"['SDProbots', '-86', '00:16:35:9D:4B:F3']"
2,"['eduroam', '-86', '58:F3:9C:BE:03:41']"
2,"['SDP_AT', '-83', '38:90:A5:5A:11:12']"
2,"['BTWi-fi', '-85', '72:86:60:57:1F:9B']"
2,"['\\x00\\x00\\x00\\x00\\x00\\x00\\x00\\x00\\x00', '-86', '72:86:60:57:1F:9E']"
2,"['eduroam', '-78', '38:90:A5:5A:11:1E']"
2,"['SDP_AT', '-78', '38:90:A5:5A:11:1D']"
2,"['eduroam', '-85', '38:90:A5:4D:6A:1E']"
3,"['eduroam', '-58', '38:90:A5:19:EB:F1']"
3,"['SDProbots', '-43', '00:13:21:57:B4:67']"
3,"['central', '-58', '38:90:A5:19:EB:F0']"
3,"['Visit-Ed', '-58', '38:90:A5:19:EB:F3']"
3,"['eduroam', '-37', '38:90:A5:0D:33:31']"
3,"['SDProbots', '-79', '00:16:35:9D:2B:09']"
3,"['eduroam', '-66', '38:90:A5:19:EB:FE']"
3,"['central', '-66', '38:90:A5:19:EB:FF']"
3,"['Visit-Ed', '-66', '38:90:A5:19:EB:FC']"
3,"['eduroam', '-37', '38:90:A5:0D:33:3E']"
3,"['central', '-37', '38:90:A5:0D:33:3F']"
3,"['SDP_AT', '-38', '38:90:A5:0D:33:3D']"
3,"['SDProbots', '-83', '00:13:21:57:E4:EB']"
3,"['eduroam', '-82', '38:90:A5:5A:11:11']"
3,"['central', '-38', '38:90:A5:0D:33:30']"
3,"['SDP_AT', '-37', '38:90:A5:0D:33:32']"
3,"['central', '-78', '38:90:A5:5A:11:1F']"
3,"['central', '-78', '38:90:A5:20:20:40']"
3,"['Visit-Ed', '-77', '38:90:A5:20:20:42']"
3,"['eduroam', '-78', '38:90:A5:20:20:41']"
3,"['SDProbots', '-86', '00:16:35:9D:4B:F3']"
3,"['eduroam', '-86', '58:F3:9C:BE:03:41']"
3,"['SDP_AT', '-83', '38:90:A5:5A:11:12']"
3,"['BTWi-fi', '-85', '72:86:60:57:1F:9B']"
3,"['\\x00\\x00\\x00\\x00\\x00\\x00\\x00\\x00\\x00', '-86', '72:86:60:57:1F:9E']"
3,"['eduroam', '-78', '38:90:A5:5A:11:1E']"
3,"['SDP_AT', '-77', '38:90:A5:5A:11:1D']"
3,"['eduroam', '-85', '38:90:A5:4D:6A:1E']"
3,"['central', '-83', '38:90:A5:5A:11:10']"
