Iteration,Network,Signal,MAC Address
1,"['eduroam', '-56', '38:90:A5:19:EB:F1']"
1,"['SDProbots', '-38', '00:13:21:57:B4:67']"
1,"['central', '-56', '38:90:A5:19:EB:F0']"
1,"['Visit-Ed', '-56', '38:90:A5:19:EB:F3']"
1,"['eduroam', '-38', '38:90:A5:0D:33:31']"
1,"['SDProbots', '-73', '00:16:35:9D:2B:09']"
1,"['eduroam', '-66', '38:90:A5:19:EB:FE']"
1,"['central', '-65', '38:90:A5:19:EB:FF']"
1,"['Visit-Ed', '-65', '38:90:A5:19:EB:FC']"
1,"['eduroam', '-37', '38:90:A5:0D:33:3E']"
1,"['central', '-38', '38:90:A5:0D:33:3F']"
1,"['SDP_AT', '-39', '38:90:A5:0D:33:3D']"
1,"['SDProbots', '-82', '00:13:21:57:E4:EB']"
1,"['central', '-40', '38:90:A5:0D:33:30']"
1,"['SDP_AT', '-39', '38:90:A5:0D:33:32']"
1,"['eduroam', '-80', '38:90:A5:20:20:41']"
1,"['central', '-81', '38:90:A5:20:20:40']"
1,"['Visit-Ed', '-80', '38:90:A5:20:20:42']"
1,"['Visit-Ed', '-87', '58:F3:9C:BE:03:43']"
1,"['central', '-87', '38:90:A5:4D:6A:1F']"
1,"['SDP_AT', '-84', '38:90:A5:5A:11:1D']"
1,"['eduroam', '-78', '38:90:A5:5A:11:11']"
1,"['central', '-84', '38:90:A5:5A:11:1F']"
1,"['SDProbots', '-83', '00:0D:9D:F6:12:77']"
1,"['BT-MGCPWG', '-84', 'D4:86:60:57:1F:9A']"
1,"['BTWi-fi', '-82', '72:86:60:57:1F:9B']"
2,"['eduroam', '-56', '38:90:A5:19:EB:F1']"
2,"['SDProbots', '-44', '00:13:21:57:B4:67']"
2,"['central', '-56', '38:90:A5:19:EB:F0']"
2,"['Visit-Ed', '-56', '38:90:A5:19:EB:F3']"
2,"['eduroam', '-38', '38:90:A5:0D:33:31']"
2,"['SDProbots', '-80', '00:16:35:9D:2B:09']"
2,"['eduroam', '-65', '38:90:A5:19:EB:FE']"
2,"['central', '-65', '38:90:A5:19:EB:FF']"
2,"['Visit-Ed', '-66', '38:90:A5:19:EB:FC']"
2,"['eduroam', '-38', '38:90:A5:0D:33:3E']"
2,"['central', '-37', '38:90:A5:0D:33:3F']"
2,"['SDP_AT', '-38', '38:90:A5:0D:33:3D']"
2,"['SDProbots', '-80', '00:13:21:57:E4:EB']"
2,"['central', '-39', '38:90:A5:0D:33:30']"
2,"['SDP_AT', '-40', '38:90:A5:0D:33:32']"
2,"['eduroam', '-78', '38:90:A5:20:20:41']"
2,"['central', '-78', '38:90:A5:20:20:40']"
2,"['Visit-Ed', '-80', '38:90:A5:20:20:42']"
2,"['Visit-Ed', '-87', '58:F3:9C:BE:03:43']"
2,"['central', '-87', '38:90:A5:4D:6A:1F']"
2,"['SDP_AT', '-84', '38:90:A5:5A:11:1D']"
2,"['eduroam', '-77', '38:90:A5:5A:11:11']"
2,"['central', '-84', '38:90:A5:5A:11:1F']"
2,"['SDProbots', '-82', '00:0D:9D:F6:12:77']"
2,"['BT-MGCPWG', '-84', 'D4:86:60:57:1F:9A']"
2,"['BTWi-fi', '-82', '72:86:60:57:1F:9B']"
2,"['SDP_AT', '-76', '38:90:A5:5A:11:12']"
3,"['eduroam', '-56', '38:90:A5:19:EB:F1']"
3,"['SDProbots', '-39', '00:13:21:57:B4:67']"
3,"['central', '-56', '38:90:A5:19:EB:F0']"
3,"['Visit-Ed', '-56', '38:90:A5:19:EB:F3']"
3,"['eduroam', '-38', '38:90:A5:0D:33:31']"
3,"['SDProbots', '-72', '00:16:35:9D:2B:09']"
3,"['eduroam', '-65', '38:90:A5:19:EB:FE']"
3,"['central', '-65', '38:90:A5:19:EB:FF']"
3,"['Visit-Ed', '-65', '38:90:A5:19:EB:FC']"
3,"['eduroam', '-38', '38:90:A5:0D:33:3E']"
3,"['central', '-37', '38:90:A5:0D:33:3F']"
3,"['SDP_AT', '-37', '38:90:A5:0D:33:3D']"
3,"['SDProbots', '-82', '00:13:21:57:E4:EB']"
3,"['central', '-40', '38:90:A5:0D:33:30']"
3,"['SDP_AT', '-39', '38:90:A5:0D:33:32']"
3,"['eduroam', '-79', '38:90:A5:20:20:41']"
3,"['central', '-78', '38:90:A5:20:20:40']"
3,"['Visit-Ed', '-80', '38:90:A5:20:20:42']"
3,"['Visit-Ed', '-87', '58:F3:9C:BE:03:43']"
3,"['central', '-87', '38:90:A5:4D:6A:1F']"
3,"['SDP_AT', '-85', '38:90:A5:5A:11:1D']"
3,"['eduroam', '-78', '38:90:A5:5A:11:11']"
3,"['central', '-84', '38:90:A5:5A:11:1F']"
3,"['SDProbots', '-85', '00:0D:9D:F6:12:77']"
3,"['BT-MGCPWG', '-84', 'D4:86:60:57:1F:9A']"
3,"['BTWi-fi', '-82', '72:86:60:57:1F:9B']"
3,"['SDP_AT', '-77', '38:90:A5:5A:11:12']"
3,"['central', '-77', '38:90:A5:5A:11:10']"
3,"['eduroam', '-85', '38:90:A5:5A:11:1E']"
4,"['eduroam', '-56', '38:90:A5:19:EB:F1']"
4,"['SDProbots', '-43', '00:13:21:57:B4:67']"
4,"['central', '-56', '38:90:A5:19:EB:F0']"
4,"['Visit-Ed', '-56', '38:90:A5:19:EB:F3']"
4,"['eduroam', '-38', '38:90:A5:0D:33:31']"
4,"['SDProbots', '-72', '00:16:35:9D:2B:09']"
4,"['eduroam', '-65', '38:90:A5:19:EB:FE']"
4,"['central', '-65', '38:90:A5:19:EB:FF']"
4,"['Visit-Ed', '-66', '38:90:A5:19:EB:FC']"
4,"['eduroam', '-38', '38:90:A5:0D:33:3E']"
4,"['central', '-38', '38:90:A5:0D:33:3F']"
4,"['SDP_AT', '-38', '38:90:A5:0D:33:3D']"
4,"['SDProbots', '-82', '00:13:21:57:E4:EB']"
4,"['central', '-38', '38:90:A5:0D:33:30']"
4,"['SDP_AT', '-38', '38:90:A5:0D:33:32']"
4,"['eduroam', '-80', '38:90:A5:20:20:41']"
4,"['central', '-80', '38:90:A5:20:20:40']"
4,"['Visit-Ed', '-81', '38:90:A5:20:20:42']"
4,"['Visit-Ed', '-84', '58:F3:9C:BE:03:43']"
4,"['central', '-87', '38:90:A5:4D:6A:1F']"
4,"['SDP_AT', '-85', '38:90:A5:5A:11:1D']"
4,"['eduroam', '-77', '38:90:A5:5A:11:11']"
4,"['central', '-83', '38:90:A5:5A:11:1F']"
4,"['SDProbots', '-83', '00:0D:9D:F6:12:77']"
4,"['BT-MGCPWG', '-84', 'D4:86:60:57:1F:9A']"
4,"['BTWi-fi', '-82', '72:86:60:57:1F:9B']"
4,"['SDP_AT', '-77', '38:90:A5:5A:11:12']"
4,"['central', '-78', '38:90:A5:5A:11:10']"
4,"['eduroam', '-85', '38:90:A5:5A:11:1E']"
4,"['central', '-85', '58:F3:9C:BE:03:40']"
4,"['eduroam', '-83', '58:F3:9C:BE:03:41']"
5,"['eduroam', '-56', '38:90:A5:19:EB:F1']"
5,"['SDProbots', '-38', '00:13:21:57:B4:67']"
5,"['central', '-56', '38:90:A5:19:EB:F0']"
5,"['Visit-Ed', '-57', '38:90:A5:19:EB:F3']"
5,"['eduroam', '-38', '38:90:A5:0D:33:31']"
5,"['SDProbots', '-81', '00:16:35:9D:2B:09']"
5,"['eduroam', '-65', '38:90:A5:19:EB:FE']"
5,"['central', '-65', '38:90:A5:19:EB:FF']"
5,"['Visit-Ed', '-66', '38:90:A5:19:EB:FC']"
5,"['eduroam', '-38', '38:90:A5:0D:33:3E']"
5,"['central', '-38', '38:90:A5:0D:33:3F']"
5,"['SDP_AT', '-38', '38:90:A5:0D:33:3D']"
5,"['SDProbots', '-79', '00:13:21:57:E4:EB']"
5,"['central', '-39', '38:90:A5:0D:33:30']"
5,"['SDP_AT', '-39', '38:90:A5:0D:33:32']"
5,"['eduroam', '-79', '38:90:A5:20:20:41']"
5,"['central', '-78', '38:90:A5:20:20:40']"
5,"['Visit-Ed', '-79', '38:90:A5:20:20:42']"
5,"['Visit-Ed', '-86', '58:F3:9C:BE:03:43']"
5,"['central', '-87', '38:90:A5:4D:6A:1F']"
5,"['SDP_AT', '-85', '38:90:A5:5A:11:1D']"
5,"['eduroam', '-78', '38:90:A5:5A:11:11']"
5,"['central', '-83', '38:90:A5:5A:11:1F']"
5,"['SDProbots', '-83', '00:0D:9D:F6:12:77']"
5,"['BT-MGCPWG', '-84', 'D4:86:60:57:1F:9A']"
5,"['BTWi-fi', '-82', '72:86:60:57:1F:9B']"
5,"['SDP_AT', '-78', '38:90:A5:5A:11:12']"
5,"['central', '-78', '38:90:A5:5A:11:10']"
5,"['eduroam', '-83', '38:90:A5:5A:11:1E']"
5,"['central', '-85', '58:F3:9C:BE:03:40']"
5,"['eduroam', '-85', '58:F3:9C:BE:03:41']"
6,"['eduroam', '-57', '38:90:A5:19:EB:F1']"
6,"['SDProbots', '-38', '00:13:21:57:B4:67']"
6,"['central', '-56', '38:90:A5:19:EB:F0']"
6,"['Visit-Ed', '-56', '38:90:A5:19:EB:F3']"
6,"['eduroam', '-38', '38:90:A5:0D:33:31']"
6,"['SDProbots', '-72', '00:16:35:9D:2B:09']"
6,"['eduroam', '-65', '38:90:A5:19:EB:FE']"
6,"['central', '-66', '38:90:A5:19:EB:FF']"
6,"['Visit-Ed', '-65', '38:90:A5:19:EB:FC']"
6,"['eduroam', '-39', '38:90:A5:0D:33:3E']"
6,"['central', '-39', '38:90:A5:0D:33:3F']"
6,"['SDP_AT', '-38', '38:90:A5:0D:33:3D']"
6,"['SDProbots', '-85', '00:13:21:57:E4:EB']"
6,"['central', '-39', '38:90:A5:0D:33:30']"
6,"['SDP_AT', '-39', '38:90:A5:0D:33:32']"
6,"['eduroam', '-79', '38:90:A5:20:20:41']"
6,"['central', '-79', '38:90:A5:20:20:40']"
6,"['Visit-Ed', '-78', '38:90:A5:20:20:42']"
6,"['Visit-Ed', '-88', '58:F3:9C:BE:03:43']"
6,"['central', '-87', '38:90:A5:4D:6A:1F']"
6,"['SDP_AT', '-83', '38:90:A5:5A:11:1D']"
6,"['eduroam', '-76', '38:90:A5:5A:11:11']"
6,"['central', '-83', '38:90:A5:5A:11:1F']"
6,"['SDProbots', '-82', '00:0D:9D:F6:12:77']"
6,"['BT-MGCPWG', '-84', 'D4:86:60:57:1F:9A']"
6,"['BTWi-fi', '-82', '72:86:60:57:1F:9B']"
6,"['SDP_AT', '-76', '38:90:A5:5A:11:12']"
6,"['central', '-77', '38:90:A5:5A:11:10']"
6,"['eduroam', '-84', '38:90:A5:5A:11:1E']"
6,"['central', '-85', '58:F3:9C:BE:03:40']"
6,"['eduroam', '-85', '58:F3:9C:BE:03:41']"
6,"['eduroam', '-85', '38:90:A5:4D:6A:1E']"
6,"['Visit-Ed', '-88', '38:90:A5:4D:6A:1C']"
7,"['eduroam', '-56', '38:90:A5:19:EB:F1']"
7,"['SDProbots', '-43', '00:13:21:57:B4:67']"
7,"['central', '-56', '38:90:A5:19:EB:F0']"
7,"['Visit-Ed', '-55', '38:90:A5:19:EB:F3']"
7,"['eduroam', '-38', '38:90:A5:0D:33:31']"
7,"['SDProbots', '-78', '00:16:35:9D:2B:09']"
7,"['eduroam', '-65', '38:90:A5:19:EB:FE']"
7,"['central', '-65', '38:90:A5:19:EB:FF']"
7,"['Visit-Ed', '-66', '38:90:A5:19:EB:FC']"
7,"['eduroam', '-38', '38:90:A5:0D:33:3E']"
7,"['central', '-37', '38:90:A5:0D:33:3F']"
7,"['SDP_AT', '-38', '38:90:A5:0D:33:3D']"
7,"['SDProbots', '-83', '00:13:21:57:E4:EB']"
7,"['central', '-39', '38:90:A5:0D:33:30']"
7,"['SDP_AT', '-38', '38:90:A5:0D:33:32']"
7,"['eduroam', '-79', '38:90:A5:20:20:41']"
7,"['central', '-79', '38:90:A5:20:20:40']"
7,"['Visit-Ed', '-80', '38:90:A5:20:20:42']"
7,"['Visit-Ed', '-88', '58:F3:9C:BE:03:43']"
7,"['central', '-87', '38:90:A5:4D:6A:1F']"
7,"['SDP_AT', '-83', '38:90:A5:5A:11:1D']"
7,"['eduroam', '-76', '38:90:A5:5A:11:11']"
7,"['central', '-83', '38:90:A5:5A:11:1F']"
7,"['SDProbots', '-84', '00:0D:9D:F6:12:77']"
7,"['BT-MGCPWG', '-84', 'D4:86:60:57:1F:9A']"
7,"['BTWi-fi', '-82', '72:86:60:57:1F:9B']"
7,"['SDP_AT', '-77', '38:90:A5:5A:11:12']"
7,"['central', '-76', '38:90:A5:5A:11:10']"
7,"['eduroam', '-84', '38:90:A5:5A:11:1E']"
7,"['central', '-86', '58:F3:9C:BE:03:40']"
7,"['eduroam', '-85', '58:F3:9C:BE:03:41']"
7,"['eduroam', '-88', '38:90:A5:4D:6A:1E']"
7,"['Visit-Ed', '-88', '38:90:A5:4D:6A:1C']"
8,"['eduroam', '-56', '38:90:A5:19:EB:F1']"
8,"['SDProbots', '-37', '00:13:21:57:B4:67']"
8,"['central', '-57', '38:90:A5:19:EB:F0']"
8,"['Visit-Ed', '-56', '38:90:A5:19:EB:F3']"
8,"['eduroam', '-38', '38:90:A5:0D:33:31']"
8,"['SDProbots', '-72', '00:16:35:9D:2B:09']"
8,"['eduroam', '-66', '38:90:A5:19:EB:FE']"
8,"['central', '-65', '38:90:A5:19:EB:FF']"
8,"['Visit-Ed', '-66', '38:90:A5:19:EB:FC']"
8,"['eduroam', '-38', '38:90:A5:0D:33:3E']"
8,"['central', '-38', '38:90:A5:0D:33:3F']"
8,"['SDP_AT', '-38', '38:90:A5:0D:33:3D']"
8,"['SDProbots', '-83', '00:13:21:57:E4:EB']"
8,"['central', '-38', '38:90:A5:0D:33:30']"
8,"['SDP_AT', '-38', '38:90:A5:0D:33:32']"
8,"['eduroam', '-79', '38:90:A5:20:20:41']"
8,"['central', '-78', '38:90:A5:20:20:40']"
8,"['Visit-Ed', '-79', '38:90:A5:20:20:42']"
8,"['Visit-Ed', '-86', '58:F3:9C:BE:03:43']"
8,"['central', '-87', '38:90:A5:4D:6A:1F']"
8,"['SDP_AT', '-83', '38:90:A5:5A:11:1D']"
8,"['eduroam', '-77', '38:90:A5:5A:11:11']"
8,"['central', '-83', '38:90:A5:5A:11:1F']"
8,"['SDProbots', '-82', '00:0D:9D:F6:12:77']"
8,"['BT-MGCPWG', '-87', 'D4:86:60:57:1F:9A']"
8,"['BTWi-fi', '-84', '72:86:60:57:1F:9B']"
8,"['SDP_AT', '-77', '38:90:A5:5A:11:12']"
8,"['central', '-76', '38:90:A5:5A:11:10']"
8,"['eduroam', '-84', '38:90:A5:5A:11:1E']"
8,"['central', '-86', '58:F3:9C:BE:03:40']"
8,"['eduroam', '-85', '58:F3:9C:BE:03:41']"
8,"['eduroam', '-88', '38:90:A5:4D:6A:1E']"
8,"['Visit-Ed', '-89', '38:90:A5:4D:6A:1C']"
8,"['\\x00\\x00\\x00\\x00\\x00\\x00\\x00\\x00\\x00', '-86', '72:86:60:57:1F:9E']"
9,"['eduroam', '-56', '38:90:A5:19:EB:F1']"
9,"['SDProbots', '-43', '00:13:21:57:B4:67']"
9,"['central', '-56', '38:90:A5:19:EB:F0']"
9,"['Visit-Ed', '-56', '38:90:A5:19:EB:F3']"
9,"['eduroam', '-38', '38:90:A5:0D:33:31']"
9,"['SDProbots', '-79', '00:16:35:9D:2B:09']"
9,"['eduroam', '-65', '38:90:A5:19:EB:FE']"
9,"['central', '-65', '38:90:A5:19:EB:FF']"
9,"['Visit-Ed', '-65', '38:90:A5:19:EB:FC']"
9,"['eduroam', '-38', '38:90:A5:0D:33:3E']"
9,"['central', '-38', '38:90:A5:0D:33:3F']"
9,"['SDP_AT', '-38', '38:90:A5:0D:33:3D']"
9,"['SDProbots', '-82', '00:13:21:57:E4:EB']"
9,"['central', '-38', '38:90:A5:0D:33:30']"
9,"['SDP_AT', '-38', '38:90:A5:0D:33:32']"
9,"['eduroam', '-78', '38:90:A5:20:20:41']"
9,"['central', '-80', '38:90:A5:20:20:40']"
9,"['Visit-Ed', '-79', '38:90:A5:20:20:42']"
9,"['Visit-Ed', '-86', '58:F3:9C:BE:03:43']"
9,"['central', '-89', '38:90:A5:4D:6A:1F']"
9,"['SDP_AT', '-84', '38:90:A5:5A:11:1D']"
9,"['eduroam', '-76', '38:90:A5:5A:11:11']"
9,"['central', '-83', '38:90:A5:5A:11:1F']"
9,"['SDProbots', '-80', '00:0D:9D:F6:12:77']"
9,"['BT-MGCPWG', '-87', 'D4:86:60:57:1F:9A']"
9,"['BTWi-fi', '-84', '72:86:60:57:1F:9B']"
9,"['SDP_AT', '-77', '38:90:A5:5A:11:12']"
9,"['central', '-76', '38:90:A5:5A:11:10']"
9,"['eduroam', '-82', '38:90:A5:5A:11:1E']"
9,"['central', '-86', '58:F3:9C:BE:03:40']"
