Iteration,Network,Signal,MAC Address
1,"['eduroam', '-64', '38:90:A5:19:EB:F1']"
1,"['SDProbots', '-41', '00:13:21:57:B4:67']"
1,"['central', '-64', '38:90:A5:19:EB:F0']"
1,"['Visit-Ed', '-64', '38:90:A5:19:EB:F3']"
1,"['eduroam', '-36', '38:90:A5:0D:33:31']"
1,"['SDProbots', '-84', '00:16:35:9D:2B:09']"
1,"['eduroam', '-65', '38:90:A5:19:EB:FE']"
1,"['central', '-65', '38:90:A5:19:EB:FF']"
1,"['Visit-Ed', '-66', '38:90:A5:19:EB:FC']"
1,"['eduroam', '-42', '38:90:A5:0D:33:3E']"
1,"['central', '-42', '38:90:A5:0D:33:3F']"
1,"['SDP_AT', '-42', '38:90:A5:0D:33:3D']"
1,"['SDProbots', '-85', '00:13:21:57:E4:EB']"
1,"['central', '-37', '38:90:A5:0D:33:30']"
1,"['SDP_AT', '-37', '38:90:A5:0D:33:32']"
1,"['SDProbots', '-84', '00:0D:9D:F6:12:77']"
1,"['Visit-Ed', '-82', '20:3A:07:85:59:52']"
1,"['eduroam', '-82', '20:3A:07:85:59:51']"
1,"['eduroam', '-80', '38:90:A5:20:20:41']"
1,"['eduroam', '-82', '38:90:A5:5A:11:11']"
1,"['central', '-80', '38:90:A5:20:20:40']"
1,"['Visit-Ed', '-80', '38:90:A5:20:20:42']"
1,"['central', '-85', '38:90:A5:5A:11:1F']"
1,"['\\x00\\x00\\x00\\x00\\x00\\x00\\x00\\x00\\x00', '-85', '7A:97:41:2A:22:1F']"
2,"['eduroam', '-65', '38:90:A5:19:EB:F1']"
2,"['SDProbots', '-42', '00:13:21:57:B4:67']"
2,"['central', '-66', '38:90:A5:19:EB:F0']"
2,"['Visit-Ed', '-66', '38:90:A5:19:EB:F3']"
2,"['eduroam', '-36', '38:90:A5:0D:33:31']"
2,"['SDProbots', '-86', '00:16:35:9D:2B:09']"
2,"['eduroam', '-65', '38:90:A5:19:EB:FE']"
2,"['central', '-65', '38:90:A5:19:EB:FF']"
2,"['Visit-Ed', '-66', '38:90:A5:19:EB:FC']"
2,"['eduroam', '-42', '38:90:A5:0D:33:3E']"
2,"['central', '-42', '38:90:A5:0D:33:3F']"
2,"['SDP_AT', '-41', '38:90:A5:0D:33:3D']"
2,"['SDProbots', '-74', '00:13:21:57:E4:EB']"
2,"['central', '-36', '38:90:A5:0D:33:30']"
2,"['SDP_AT', '-36', '38:90:A5:0D:33:32']"
2,"['SDProbots', '-84', '00:0D:9D:F6:12:77']"
2,"['Visit-Ed', '-82', '20:3A:07:85:59:52']"
2,"['eduroam', '-84', '20:3A:07:85:59:51']"
2,"['eduroam', '-80', '38:90:A5:20:20:41']"
2,"['eduroam', '-81', '38:90:A5:5A:11:11']"
2,"['central', '-80', '38:90:A5:20:20:40']"
2,"['Visit-Ed', '-80', '38:90:A5:20:20:42']"
2,"['central', '-85', '38:90:A5:5A:11:1F']"
