Iteration,Network,Signal,MAC Address
1,"['eduroam', '-58', '38:90:A5:19:EB:F1']"
1,"['SDProbots', '-47', '00:13:21:57:B4:67']"
1,"['central', '-58', '38:90:A5:19:EB:F0']"
1,"['Visit-Ed', '-58', '38:90:A5:19:EB:F3']"
1,"['eduroam', '-40', '38:90:A5:0D:33:31']"
1,"['SDProbots', '-72', '00:16:35:9D:2B:09']"
1,"['eduroam', '-66', '38:90:A5:19:EB:FE']"
1,"['central', '-66', '38:90:A5:19:EB:FF']"
1,"['Visit-Ed', '-66', '38:90:A5:19:EB:FC']"
1,"['eduroam', '-39', '38:90:A5:0D:33:3E']"
1,"['central', '-38', '38:90:A5:0D:33:3F']"
1,"['SDP_AT', '-38', '38:90:A5:0D:33:3D']"
1,"['SDProbots', '-81', '00:13:21:57:E4:EB']"
1,"['central', '-41', '38:90:A5:0D:33:30']"
1,"['SDP_AT', '-41', '38:90:A5:0D:33:32']"
1,"['SDProbots', '-86', '00:0D:9D:F6:12:77']"
1,"['eduroam', '-81', '38:90:A5:5A:11:1E']"
1,"['Visit-Ed', '-80', '20:3A:07:85:59:52']"
1,"['eduroam', '-83', '20:3A:07:85:59:51']"
1,"['SDP_AT', '-81', '38:90:A5:5A:11:1D']"
1,"['Visit-Ed', '-81', '38:90:A5:20:20:42']"
1,"['SDP_AT', '-81', '38:90:A5:5A:11:12']"
1,"['eduroam', '-80', '38:90:A5:5A:11:11']"
1,"['central', '-83', '20:3A:07:85:59:50']"
1,"['central', '-82', '38:90:A5:20:20:40']"
1,"['eduroam', '-86', '38:90:A5:4D:6A:1E']"
1,"['central', '-79', '38:90:A5:5A:11:10']"
1,"['Visit-Ed', '-88', '38:90:A5:4D:6A:1C']"
2,"['eduroam', '-57', '38:90:A5:19:EB:F1']"
2,"['SDProbots', '-47', '00:13:21:57:B4:67']"
2,"['central', '-57', '38:90:A5:19:EB:F0']"
2,"['Visit-Ed', '-57', '38:90:A5:19:EB:F3']"
2,"['eduroam', '-41', '38:90:A5:0D:33:31']"
2,"['SDProbots', '-72', '00:16:35:9D:2B:09']"
2,"['eduroam', '-66', '38:90:A5:19:EB:FE']"
2,"['central', '-66', '38:90:A5:19:EB:FF']"
2,"['Visit-Ed', '-66', '38:90:A5:19:EB:FC']"
2,"['eduroam', '-38', '38:90:A5:0D:33:3E']"
2,"['central', '-38', '38:90:A5:0D:33:3F']"
2,"['SDP_AT', '-38', '38:90:A5:0D:33:3D']"
2,"['SDProbots', '-81', '00:13:21:57:E4:EB']"
2,"['central', '-41', '38:90:A5:0D:33:30']"
2,"['SDP_AT', '-41', '38:90:A5:0D:33:32']"
2,"['SDProbots', '-84', '00:0D:9D:F6:12:77']"
2,"['eduroam', '-81', '38:90:A5:5A:11:1E']"
2,"['Visit-Ed', '-82', '20:3A:07:85:59:52']"
2,"['eduroam', '-83', '20:3A:07:85:59:51']"
2,"['SDP_AT', '-81', '38:90:A5:5A:11:1D']"
2,"['Visit-Ed', '-82', '38:90:A5:20:20:42']"
2,"['SDP_AT', '-81', '38:90:A5:5A:11:12']"
2,"['eduroam', '-80', '38:90:A5:5A:11:11']"
2,"['central', '-83', '20:3A:07:85:59:50']"
2,"['central', '-82', '38:90:A5:20:20:40']"
2,"['eduroam', '-86', '38:90:A5:4D:6A:1E']"
2,"['central', '-79', '38:90:A5:5A:11:10']"
2,"['Visit-Ed', '-88', '38:90:A5:4D:6A:1C']"
2,"['eduroam', '-82', '38:90:A5:20:20:41']"
2,"['central', '-83', '38:90:A5:5A:11:1F']"
2,"['central', '-86', '38:90:A5:4D:6A:1F']"
3,"['eduroam', '-57', '38:90:A5:19:EB:F1']"
